title,url
Real-Time Calibration Model for Low-Cost Sensor in Fine-Grained Time Series,https://papers.cool/venue/31974@AAAI
AAAI.2025 - Application Domains,https://papers.cool/venue/AAAI.2025?group=Application Domains
BayesCNS: A Unified Bayesian Approach to Address Cold Start and Non-Stationarity in Search Systems at Scale,https://papers.cool/venue/31975@AAAI
Scalable Surrogate Verification of Image-Based Neural Network Control Systems Using Composition and Unrolling,https://papers.cool/venue/31976@AAAI
External Reliable Information-enhanced Multimodal Contrastive Learning for Fake News Detection,https://papers.cool/venue/31977@AAAI
Holistic Semantic Representation for Navigational Trajectory Generation,https://papers.cool/venue/31978@AAAI
SQLFixAgent: Towards Semantic-Accurate Text-to-SQL Parsing via Consistency-Enhanced Multi-Agent Collaboration,https://papers.cool/venue/31979@AAAI
mmFAS: Multimodal Face Anti-Spoofing Using Multi-Level Alignment and Switch-Attention Fusion,https://papers.cool/venue/31980@AAAI
CLEP: A Novel Contrastive Learning Method for Evolutionary Reentrancy Vulnerability Detection,https://papers.cool/venue/31981@AAAI
GLCF: A Global-Local Multimodal Coherence Analysis Framework for Talking Face Generation Detection,https://papers.cool/venue/31982@AAAI
ReactGPT: Understanding of Chemical Reactions via In-Context Tuning,https://papers.cool/venue/31983@AAAI
4D Diffusion for Dynamic Protein Structure Prediction with Reference and Motion Guidance,https://papers.cool/venue/31984@AAAI
G2LDetect: A Global-to-Local Approach for Hallucination Detection,https://papers.cool/venue/31985@AAAI
3D Denoisers Are Good 2D Teachers: Molecular Pretraining via Denoising and Cross-Modal Distillation,https://papers.cool/venue/31986@AAAI
CryoDomain: Sequence-free Protein Domain Identification from Low-resolution Cryo-EM Density Maps,https://papers.cool/venue/31987@AAAI
Less Is More: Adaptive Program Repair with Bug Localization and Preference Learning,https://papers.cool/venue/31988@AAAI
Improving Cancer Gene Prediction by Enhancing Common Information Between the PPI Network and Gene Functional Association,https://papers.cool/venue/31989@AAAI
AutoSciLab: A Self-Driving Laboratory for Interpretable Scientific Discovery,https://papers.cool/venue/31990@AAAI
RingFormer: A Ring-Enhanced Graph Transformer for Organic Solar Cell Property Prediction,https://papers.cool/venue/31991@AAAI
Knowledge Is Power: Harnessing Large Language Models for Enhanced Cognitive Diagnosis,https://papers.cool/venue/31992@AAAI
FactorGCL: A Hypergraph-Based Factor Model with Temporal Residual Contrastive Learning for Stock Returns Prediction,https://papers.cool/venue/31993@AAAI
How to Re-enable PDE Loss for Physical Systems Modeling Under Partial Observation,https://papers.cool/venue/31994@AAAI
APIRL: Deep Reinforcement Learning for REST API Fuzzing,https://papers.cool/venue/31995@AAAI
A Theoretical Framework for an Efficient Normalizing Flow-Based Solution to the Electronic Schrödinger Equation,https://papers.cool/venue/31996@AAAI
EWMoE: An Effective Model for Global Weather Forecasting with Mixture-of-Experts,https://papers.cool/venue/31997@AAAI
FoldToken: Learning Protein Language via Vector Quantization and Beyond,https://papers.cool/venue/31998@AAAI
Each Fake News Is Fake in Its Own Way: An Attribution Multi-Granularity Benchmark for Multimodal Fake News Detection,https://papers.cool/venue/31999@AAAI
HeMeNet: Heterogeneous Multichannel Equivariant Network for Protein Multi-task Learning,https://papers.cool/venue/32000@AAAI
CoPRA: Bridging Cross-domain Pretrained Sequence Models with Complex Structures for Protein-RNA Binding Affinity Prediction,https://papers.cool/venue/32001@AAAI
GARLIC: GPT-Augmented Reinforcement Learning with Intelligent Control for Vehicle Dispatching,https://papers.cool/venue/32002@AAAI
Open-world Radio Frequency Fingerprint Identification via Augmented Semi-supervised Learning,https://papers.cool/venue/32003@AAAI
Limitations in Employing Natural Language Supervision for Sensor-Based Human Activity Recognition - And Ways to Overcome Them,https://papers.cool/venue/32004@AAAI
Hypergraph Attacks via Injecting Homogeneous Nodes into Elite Hyperedges,https://papers.cool/venue/32005@AAAI
HHAN: Comprehensive Infectious Disease Source Tracing via Heterogeneous Hypergraph Neural Network,https://papers.cool/venue/32006@AAAI
VerilogCoder: Autonomous Verilog Coding Agents with Graph-based Planning and Abstract Syntax Tree (AST)-based Waveform Tracing Tool,https://papers.cool/venue/32007@AAAI
ViFactCheck: A New Benchmark Dataset and Methods for Multi-Domain News Fact-Checking In Vietnamese,https://papers.cool/venue/32008@AAAI
MOL-Mamba: Enhancing Molecular Representation with Structural & Electronic Insights,https://papers.cool/venue/32009@AAAI
PRAGA: Prototype-aware Graph Adaptive Aggregation for Spatial Multi-modal Omics Analysis,https://papers.cool/venue/32010@AAAI
Social Recommendation via Graph-Level Counterfactual Augmentation,https://papers.cool/venue/32011@AAAI
DF-MIA: A Distribution-Free Membership Inference Attack on Fine-Tuned Large Language Models,https://papers.cool/venue/32012@AAAI
Bi-level Contrastive Learning for Knowledge-Enhanced Molecule Representations,https://papers.cool/venue/32013@AAAI
Learning Generalized Residual Exchange-Correlation-Uncertain Functional for Density Functional Theory,https://papers.cool/venue/32014@AAAI
IWRN:A Robust Blind Watermarking Method for Artwork Image Copyright Protection Against Noise Attack,https://papers.cool/venue/32015@AAAI
AnalogCoder: Analog Circuit Design via Training-Free Code Generation,https://papers.cool/venue/32016@AAAI
Political Actor Agent: Simulating Legislative System for Roll Call Votes Prediction with Large Language Models,https://papers.cool/venue/32017@AAAI
Simulate and Eliminate: Revoke Backdoors for Generative Large Language Models,https://papers.cool/venue/32018@AAAI
Vox-UDA: Voxel-wise Unsupervised Domain Adaptation for Cryo-Electron Subtomogram Segmentation with Denoised Pseudo-Labeling,https://papers.cool/venue/32019@AAAI
ChemVLM: Exploring the Power of Multimodal Large Language Models in Chemistry Area,https://papers.cool/venue/32020@AAAI
Critical Forgetting-Based Multi-Scale Disentanglement for Deepfake Detection,https://papers.cool/venue/32021@AAAI
Learning Complex Heterogeneous Multimodal Fake News via Social Latent Network Inference,https://papers.cool/venue/32022@AAAI
AI-Powered Algorithm-Centric Quantum Processor Topology Design,https://papers.cool/venue/32023@AAAI
Enhancing the Adversarial Robustness via Manifold Projection,https://papers.cool/venue/32024@AAAI
Whole Genome Transformer for Gene Interaction Effects in Microbiome Habitat Specificity,https://papers.cool/venue/32025@AAAI
SCALM: Detecting Bad Practices in Smart Contracts Through LLMs,https://papers.cool/venue/32026@AAAI
An Evaluation Framework for Product Images Background Inpainting Based on Human Feedback and Product Consistency,https://papers.cool/venue/32027@AAAI
A Thorough Comparison Between Independent Cascade and Susceptible-Infected-Recovered Models,https://papers.cool/venue/32028@AAAI
IDseq: Decoupled and Sequentially Detecting and Grounding Multi-Modal Media Manipulation,https://papers.cool/venue/32029@AAAI
